time,symbol,action,volume,entry,exit,pnl
2024-01-05 06:00:00+00:00,EURUSD,BUY,0.1,1.09675,1.09276,-39.89999999999938
2024-01-09 11:00:00+00:00,EURUSD,BUY,0.1,1.09392,1.09314,-7.80000000000003
2024-01-11 16:00:00+00:00,EURUSD,BUY,0.1,1.09459,1.09423,-3.59999999999916
2024-01-12 12:00:00+00:00,EURUSD,BUY,0.1,1.09796,1.09377,-41.900000000001384
2024-01-18 16:00:00+00:00,EURUSD,BUY,0.1,1.08938,1.08618,-32.00000000000092
2024-01-22 16:00:00+00:00,EURUSD,BUY,0.1,1.08808,1.08938,13.00000000000079
2024-01-23 14:00:00+00:00,EURUSD,BUY,0.1,1.09083,1.08526,-55.70000000000075
2024-01-25 04:00:00+00:00,EURUSD,BUY,0.1,1.09027,1.08754,-27.300000000001212
2024-01-29 02:00:00+00:00,EURUSD,BUY,0.1,1.08641,1.08435,-20.600000000001728
2024-01-31 05:00:00+00:00,EURUSD,BUY,0.1,1.08305,1.08204,-10.100000000001774
2024-02-01 00:00:00+00:00,EURUSD,BUY,0.1,1.08613,1.08081,-53.19999999999992
2024-02-02 16:00:00+00:00,EURUSD,BUY,0.1,1.08698,1.07861,-83.69999999999989
2024-02-08 14:00:00+00:00,EURUSD,BUY,0.1,1.07566,1.07647,8.099999999999774
2024-02-09 12:00:00+00:00,EURUSD,BUY,0.1,1.07729,1.07672,-5.700000000001815
2024-02-12 13:00:00+00:00,EURUSD,BUY,0.1,1.07831,1.07638,-19.300000000002097
2024-02-19 16:00:00+00:00,EURUSD,BUY,0.1,1.07269,1.07698,42.90000000000127
2024-02-21 13:00:00+00:00,EURUSD,BUY,0.1,1.07983,1.081,11.699999999998935
2024-02-22 20:00:00+00:00,EURUSD,BUY,0.1,1.08181,1.08217,3.60000000000138
2024-02-25 22:00:00+00:00,EURUSD,BUY,0.1,1.08274,1.08227,-4.699999999999705
2024-02-27 19:00:00+00:00,EURUSD,BUY,0.1,1.08478,1.08442,-3.60000000000138
2024-02-29 17:00:00+00:00,EURUSD,BUY,0.1,1.0838,1.07998,-38.200000000001566
2024-03-05 07:00:00+00:00,EURUSD,BUY,0.1,1.0831,1.08463,15.300000000000315
2024-03-10 22:00:00+00:00,EURUSD,BUY,0.1,1.08575,1.09375,80.00000000000009
2024-03-11 09:00:00+00:00,EURUSD,BUY,0.1,1.09445,1.09346,-9.899999999998244
2024-03-11 12:00:00+00:00,EURUSD,BUY,0.1,1.09429,1.09294,-13.499999999999623
2024-03-12 13:00:00+00:00,EURUSD,BUY,0.1,1.09319,1.09107,-21.20000000000122
2024-03-14 10:00:00+00:00,EURUSD,BUY,0.1,1.09232,1.09395,16.300000000000203
2024-03-18 18:00:00+00:00,EURUSD,BUY,0.1,1.08837,1.0871,-12.700000000001044
2024-03-20 11:00:00+00:00,EURUSD,BUY,0.1,1.08616,1.08425,-19.100000000000783
2024-03-21 16:00:00+00:00,EURUSD,BUY,0.1,1.09209,1.08608,-60.10000000000071
2024-03-26 19:00:00+00:00,EURUSD,BUY,0.1,1.08179,1.08286,10.699999999999044
2024-04-01 10:00:00+00:00,EURUSD,BUY,0.1,1.07881,1.07813,-6.800000000000139
2024-04-05 00:00:00+00:00,EURUSD,BUY,0.1,1.07689,1.08416,72.70000000000111
2024-04-08 12:00:00+00:00,EURUSD,BUY,0.1,1.08297,1.08341,4.3999999999999595
2024-04-09 22:00:00+00:00,EURUSD,BUY,0.1,1.08516,1.08586,7.0000000000014495
2024-04-15 17:00:00+00:00,EURUSD,BUY,0.1,1.06576,1.06288,-28.799999999999937
2024-04-17 00:00:00+00:00,EURUSD,BUY,0.1,1.06249,1.06223,-2.5999999999992696
2024-04-17 05:00:00+00:00,EURUSD,BUY,0.1,1.06341,1.06118,-22.299999999999546
2024-04-18 17:00:00+00:00,EURUSD,BUY,0.1,1.06346,1.06483,13.699999999998715
2024-04-22 12:00:00+00:00,EURUSD,BUY,0.1,1.06695,1.06397,-29.79999999999983
2024-04-24 12:00:00+00:00,EURUSD,BUY,0.1,1.06542,1.06867,32.49999999999975
2024-04-26 14:00:00+00:00,EURUSD,BUY,0.1,1.0707,1.06798,-27.200000000000557
2024-04-30 04:00:00+00:00,EURUSD,BUY,0.1,1.07177,1.07056,-12.099999999999335
2024-05-02 17:00:00+00:00,EURUSD,BUY,0.1,1.06715,1.07193,47.80000000000007
2024-05-07 02:00:00+00:00,EURUSD,BUY,0.1,1.07302,1.07637,33.499999999999645
2024-05-09 00:00:00+00:00,EURUSD,BUY,0.1,1.07488,1.07432,-5.60000000000116
2024-05-09 07:00:00+00:00,EURUSD,BUY,0.1,1.07476,1.07346,-12.999999999998568
2024-05-10 17:00:00+00:00,EURUSD,BUY,0.1,1.07758,1.07741,-1.7000000000000348
2024-05-14 09:00:00+00:00,EURUSD,BUY,0.1,1.07817,1.07927,10.999999999998789
2024-05-16 15:00:00+00:00,EURUSD,BUY,0.1,1.0803,1.08751,72.09999999999938
2024-05-20 15:00:00+00:00,EURUSD,BUY,0.1,1.08674,1.08605,-6.900000000000795
2024-05-21 17:00:00+00:00,EURUSD,BUY,0.1,1.0857,1.08532,-3.8000000000004697
2024-05-23 19:00:00+00:00,EURUSD,BUY,0.1,1.08505,1.08101,-40.40000000000044
2024-05-28 21:00:00+00:00,EURUSD,BUY,0.1,1.08512,1.08569,5.699999999999594
2024-06-03 11:00:00+00:00,EURUSD,BUY,0.1,1.08407,1.08432,2.499999999998615
2024-06-04 13:00:00+00:00,EURUSD,BUY,0.1,1.08851,1.0866,-19.100000000000783
2024-06-07 13:00:00+00:00,EURUSD,BUY,0.1,1.08919,1.08193,-72.60000000000045
2024-06-11 12:00:00+00:00,EURUSD,BUY,0.1,1.07667,1.07323,-34.4000000000011
2024-06-13 12:00:00+00:00,EURUSD,BUY,0.1,1.07586,1.07937,35.09999999999902
2024-06-20 07:00:00+00:00,EURUSD,BUY,0.1,1.0711,1.07247,13.700000000000935
2024-06-25 12:00:00+00:00,EURUSD,BUY,0.1,1.07135,1.07048,-8.699999999999264
2024-06-28 05:00:00+00:00,EURUSD,BUY,0.1,1.06879,1.06902,2.300000000001745
2024-07-01 20:00:00+00:00,EURUSD,BUY,0.1,1.07112,1.07402,28.99999999999903
2024-07-08 06:00:00+00:00,EURUSD,BUY,0.1,1.07462,1.08216,75.40000000000103
2024-07-08 22:00:00+00:00,EURUSD,BUY,0.1,1.08368,1.08256,-11.200000000000099
2024-07-16 00:00:00+00:00,EURUSD,BUY,0.1,1.08216,1.08913,69.6999999999992
2024-07-18 11:00:00+00:00,EURUSD,BUY,0.1,1.0902,1.09276,25.599999999998957
2024-07-22 12:00:00+00:00,EURUSD,BUY,0.1,1.08915,1.08781,-13.40000000000119
2024-07-23 09:00:00+00:00,EURUSD,BUY,0.1,1.08889,1.08673,-21.599999999999397
2024-07-24 22:00:00+00:00,EURUSD,BUY,0.1,1.08375,1.08393,1.80000000000069
2024-07-29 08:00:00+00:00,EURUSD,BUY,0.1,1.08457,1.08321,-13.600000000000279
2024-07-31 23:00:00+00:00,EURUSD,BUY,0.1,1.08254,1.08238,-1.6000000000016001
2024-08-01 07:00:00+00:00,EURUSD,BUY,0.1,1.08261,1.08009,-25.20000000000078
2024-08-06 07:00:00+00:00,EURUSD,BUY,0.1,1.08202,1.09268,106.60000000000113
2024-08-08 14:00:00+00:00,EURUSD,BUY,0.1,1.0922,1.09063,-15.700000000000715
2024-08-12 00:00:00+00:00,EURUSD,BUY,0.1,1.09174,1.09182,0.8000000000008001
2024-08-15 05:00:00+00:00,EURUSD,BUY,0.1,1.09267,1.10096,82.89999999999908
2024-08-22 14:00:00+00:00,EURUSD,BUY,0.1,1.09938,1.11148,121.00000000000001
2024-08-26 15:00:00+00:00,EURUSD,BUY,0.1,1.11749,1.11636,-11.300000000000754
2024-08-28 06:00:00+00:00,EURUSD,BUY,0.1,1.11813,1.11477,-33.60000000000029
2024-09-03 06:00:00+00:00,EURUSD,BUY,0.1,1.10679,1.10614,-6.500000000000395
2024-09-06 16:00:00+00:00,EURUSD,BUY,0.1,1.10578,1.10767,18.899999999999473
2024-09-11 17:00:00+00:00,EURUSD,BUY,0.1,1.10451,1.10185,-26.60000000000107
2024-09-15 23:00:00+00:00,EURUSD,BUY,0.1,1.10398,1.10873,47.50000000000032
2024-09-17 18:00:00+00:00,EURUSD,BUY,0.1,1.10971,1.11223,25.20000000000078
2024-09-18 21:00:00+00:00,EURUSD,BUY,0.1,1.11294,1.11164,-13.00000000000079
2024-09-22 21:00:00+00:00,EURUSD,BUY,0.1,1.11776,1.11612,-16.40000000000086
2024-09-23 02:00:00+00:00,EURUSD,BUY,0.1,1.11589,1.11622,3.299999999999415
2024-09-25 17:00:00+00:00,EURUSD,BUY,0.1,1.1128,1.11369,8.900000000000574
2024-09-27 09:00:00+00:00,EURUSD,BUY,0.1,1.11828,1.11594,-23.400000000000087
2024-09-29 22:00:00+00:00,EURUSD,BUY,0.1,1.11677,1.11707,2.9999999999996696
2024-09-30 18:00:00+00:00,EURUSD,BUY,0.1,1.11681,1.11322,-35.89999999999982
2024-10-08 18:00:00+00:00,EURUSD,BUY,0.1,1.09839,1.09722,-11.699999999998935
2024-10-14 00:00:00+00:00,EURUSD,BUY,0.1,1.09356,1.09214,-14.199999999999768
2024-10-21 11:00:00+00:00,EURUSD,BUY,0.1,1.0845,1.08557,10.699999999999044
2024-10-25 18:00:00+00:00,EURUSD,BUY,0.1,1.07888,1.08029,14.099999999999115
2024-10-29 10:00:00+00:00,EURUSD,BUY,0.1,1.08203,1.08055,-14.800000000001479
2024-11-01 11:00:00+00:00,EURUSD,BUY,0.1,1.08197,1.08679,48.19999999999824
2024-11-05 00:00:00+00:00,EURUSD,BUY,0.1,1.08974,1.08756,-21.799999999998487
2024-11-06 03:00:00+00:00,EURUSD,BUY,0.1,1.08927,1.07464,-146.29999999999922
2024-11-08 10:00:00+00:00,EURUSD,BUY,0.1,1.07688,1.07785,9.699999999999154
2024-11-13 15:00:00+00:00,EURUSD,BUY,0.1,1.06313,1.05886,-42.69999999999997
2024-11-15 21:00:00+00:00,EURUSD,BUY,0.1,1.05698,1.05394,-30.39999999999932
2024-11-19 12:00:00+00:00,EURUSD,BUY,0.1,1.05685,1.0572,3.4999999999985043
2024-11-20 10:00:00+00:00,EURUSD,BUY,0.1,1.05944,1.05489,-45.49999999999832
2024-11-26 02:00:00+00:00,EURUSD,BUY,0.1,1.0487,1.04609,-26.100000000000012
2024-11-26 22:00:00+00:00,EURUSD,BUY,0.1,1.05132,1.04867,-26.500000000000412
2024-11-27 06:00:00+00:00,EURUSD,BUY,0.1,1.04786,1.04799,1.2999999999996348
2024-11-28 12:00:00+00:00,EURUSD,BUY,0.1,1.05141,1.05449,30.79999999999972
2024-12-02 00:00:00+00:00,EURUSD,BUY,0.1,1.056,1.05362,-23.800000000000487
2024-12-04 04:00:00+00:00,EURUSD,BUY,0.1,1.05226,1.05107,-11.900000000000244
2024-12-06 18:00:00+00:00,EURUSD,BUY,0.1,1.05128,1.05494,36.599999999999966
2024-12-10 01:00:00+00:00,EURUSD,BUY,0.1,1.05781,1.05529,-25.199999999998557
2024-12-12 16:00:00+00:00,EURUSD,BUY,0.1,1.05163,1.05132,-3.1000000000003247
2024-12-16 14:00:00+00:00,EURUSD,BUY,0.1,1.04906,1.04825,-8.100000000001994
2024-12-17 10:00:00+00:00,EURUSD,BUY,0.1,1.05094,1.0488,-21.400000000000308
2024-12-18 15:00:00+00:00,EURUSD,BUY,0.1,1.04968,1.04738,-22.999999999999687
2024-12-23 13:00:00+00:00,EURUSD,BUY,0.1,1.04073,1.03994,-7.899999999998464
2024-12-26 08:00:00+00:00,EURUSD,BUY,0.1,1.0405,1.03948,-10.20000000000021
2024-12-30 14:00:00+00:00,EURUSD,BUY,0.1,1.04017,1.04052,3.4999999999985043
